Module,Feature Name,User Story,Acceptance Criteria,Status,Assignee,Due,Comments
Course Management,Platform Analytics Dashboard,"As a super admin, I want comprehensive analytics on platform usage, course performance, and user engagement.","[ ] Display platform-wide usage statistics
[ ]  Google Analytics will be integrated to observe Platform specific stats.",Backlog,"Nouman Javaid, Muhammad Irtaza, Muhammad Faizan Nasir, Tayyab Mughal","November 11, 2025",
Course Management,View Student Progress,"As an admin, I want to monitor individual student progress and performance across courses.","[ ] Display student list with enrollment status
[ ] Show individual student progress percentages
[ ] Display MatchDay scores and Summaries ",Backlog,"Nouman Javaid, Muhammad Irtaza, Muhammad Faizan Nasir, Tayyab Mughal","November 21, 2025",
Learning,The League Assignment,"As a Learner, I want to be automatically assigned to an appropriate league based on my Taktikcheck performance so that I receive learning content and challenges that match my current skill level.","[ ] League assignment considers both overall score and individual concept performance
[ ] System displays the assigned league prominently to the learner
[ ] League assignment includes clear explanation of what the league represents Modules the Learner qualifies for.
[ ] Learner can view league-specific learning paths and content assigned by Admin.",Backlog,"Muhammad Faizan Nasir, Tayyab Mughal","November 2, 2025","All Learners have access to all Modules. "
Taktikcheck,The Dartboard League,"As a Learner, I want to see an engaging dartboard visualization of my Taktikcheck results so that I can easily understand my performance across different tactical concepts and feel motivated to improve.","[ ] System displays a dartboard visualization after Taktikcheck completion
[ ] Each segment of the dartboard represents a different tactical concept
[ ] Segment colors indicate performance level (red=poor, yellow=average, green=excellent)
",Backlog,"Muhammad Faizan Nasir, Tayyab Mughal","November 2, 2025","@Kristian Erxleben  @Leonie Schmidt

The logic for Taktikcheck average calcultion need to be provided."
Course Management,The Administrator Builds the Course,"As an Administrator, I want to build a comprehensive form for assessing learners can systematically develop their tactical understanding through structured lessons and assessments.",[ ] Questionnaire can be created Including rating based questions (ONLY),Backlog,"Muhammad Faizan Nasir, Tayyab Mughal","November 2, 2025",
Course Management,Course Preview & Details,"As a learner, I want to preview course content, and (if any) instructions before starting.","[ ] Display comprehensive course overview page
[ ] Show course intro preview (if added) video
[ ] Display course duration and difficulty level",In Progress,"Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza, Nouman Javaid","September 9, 2025",
Course Management,Course Enrollment,"As a admin, I want to enroll in courses so I can access the learning content.","[ ] Add MatchDay to user's dashboard immediately
",Done,"Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza, Nouman Javaid","September 29, 2025",
Course Management,Create Course Structure,"As an admin, I want to create MatchDays, modules.","[ ] Create MatchDays with basic information (title, description, category)
[ ] Add course modules and organize lessons
[ ] Configure enrollment settings (Only Modules / MatchDays)",Done,"Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza, Nouman Javaid","September 11, 2025",
Course Management,Personal Dashboard,"As a learner, I want a dashboard showing my assigned Modules by admin","[ ] Display enrolled Modules with progress indicators
[ ] Show course completion Stats
[ ] Display learning achievements (badges and trophies)
[ ] Display overall learning progress metrics",In QA,"Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza","September 23, 2025",
Course Management,Upload Course Content,"As an admin, I want to upload videos, documents, images, and interactive content.","[ ] Support multiple file formats (MP4, PDF, YT link, Webm .)
[ ] Implement drag-and-drop file upload
[ ] Implement file compression and optimization (through Cloudinary)
[ ] Add content preview functionality (Later On)",Done,"Muhammad Faizan Nasir, Tayyab Mughal, Muhammad Irtaza, Nouman Javaid","October 14, 2025",
